base_model,task,finetuning,epochs,batch_size,adapter_type,finetuning+adapter,eval_accuracy_list,mean_accuracy,std_accuracy,train_runtime_list,mean_runtime,std_runtime
SciBert,HoC,model+adapter,25,16,LP_REL,model+adapter LP_REL,"[0.8466235632183908, 0.8397988505747126, 0.8386633129716133, 0.8422565576715775, 0.8368666906216313]",0.8408417950115851,0.003777081180926953,"[2086.3706, 2088.1457, 2086.2374, 2088.1269, 2086.1407]",2087.00426,1.036646151297603
SciBert,HoC,only_model,25,16,only_model,only_model,"[0.8512931034482759, 0.8397988505747126, 0.8386633129716133, 0.8422565576715775, 0.8368666906216313]",0.8417757030575622,0.005668012267081886,"[2092.9972, 2092.2745, 2092.2015, 2101.967, 2089.1625]",2093.72054,4.839978464105064
SciBert,MedNLI,model+adapter,25,16,EP_NB,model+adapter EP_NB,"[0.7852221430268472, 0.7854597291518175, 0.7814207650273224]",0.7840342124019957,0.0022664271832192094,"[1580.0581, 1583.9285, 1582.7428]",1582.2431333333334,1.9829899453434194
SciBert,MedNLI,model+adapter,25,16,LP_FULL,model+adapter LP_FULL,"[0.7788073176526491, 0.7854597291518175, 0.7814207650273224]",0.781895937277263,0.003351564737387928,"[1582.0354, 1581.7212, 1584.9217]",1582.8927666666666,1.7641168508162437
SciBert,MedNLI,model+adapter,25,16,LP_NB,model+adapter LP_NB,"[0.7778569731527679, 0.7854597291518175, 0.7814207650273224]",0.7815791557773025,0.003803852049900255,"[1582.4032, 1582.9043, 1580.272]",1581.8598333333332,1.3977432966511585
SciBert,MedNLI,model+adapter,25,16,LP_REL,model+adapter LP_REL,"[0.7802328344024709, 0.7854597291518175, 0.7814207650273224]",0.7823711095272037,0.002739976857845248,"[1592.6749, 1585.7882, 1581.5466]",1586.6698999999999,5.616298726919727
SciBert,MedNLI,only_model,25,16,only_model,only_model,"[0.7809455927773818, 0.7854597291518175, 0.7814207650273224]",0.7826086956521738,0.002480471966954252,"[1589.4968, 1585.3004, 1584.9835]",1586.5935666666667,2.519261646461685
SciBert,MedQA,model+adapter,25,12,EP_NB,model+adapter EP_NB,"[0.32066018272914826, 0.31800766283524906, 0.3269457547169811]",0.32187120009379283,0.004590456830716774,"[5518.6259, 5552.9421, 5544.4896]",5538.685866666667,17.879118716070565
SciBert,MedQA,model+adapter,25,12,LP_FULL,model+adapter LP_FULL,"[0.31682876510462715, 0.31800766283524906, 0.3269457547169811]",0.3205940608856191,0.00553222024691156,"[9831.3662, 8677.3655, 10532.418]",9680.383233333334,936.6973025511833
SciBert,MedQA,model+adapter,25,12,LP_NB,model+adapter LP_NB,"[0.3239021514883584, 0.31800766283524906, 0.3269457547169811]",0.32295185634686285,0.00454419049595565,"[5515.4494, 5549.7422, 5546.4157]",5537.202433333333,18.911960368066506
SciBert,MedQA,model+adapter,25,12,LP_REL,model+adapter LP_REL,"[0.31800766283524906, 0.31800766283524906, 0.3269457547169811]",0.3209870267958264,0.005160409753959612,"[8565.3204, 10446.0144, 9853.3243]",9621.553033333334,961.5305093694129
SciBert,MedQA,only_model,25,12,only_model,only_model,"[0.32360742705570295, 0.31800766283524906, 0.3269457547169811]",0.322853614869311,0.004516474978435698,"[7976.9376, 5559.0446, 7039.3393]",6858.4405,1219.054929748176
SciBert,PubMedQa,model+adapter,25,12,EP,model+adapter EP,"[0.7, 0.56, 0.6, 0.52, 0.58, 0.62, 0.56, 0.56, 0.68, 0.64]",0.6020000000000001,0.05769652406245012,"[293.9541, 294.9724, 293.63, 293.4471, 294.4508, 293.2217, 293.4947, 294.8063, 293.5659, 293.5993]",293.91423,0.6128371780316417
SciBert,PubMedQa,model+adapter,25,12,EP_NB,model+adapter EP_NB,"[0.56, 0.56, 0.6, 0.52, 0.58, 0.62, 0.56, 0.56, 0.68, 0.64]",0.588,0.0473286382647969,"[294.5032, 294.1481, 294.7709, 294.5675, 293.8189, 5017.9327, 305.481, 294.2757, 294.4693, 294.0579]",767.8025200000001,1493.3476640605643
SciBert,PubMedQa,model+adapter,25,12,LP,model+adapter LP,"[0.56, 0.56, 0.6, 0.52, 0.58, 0.62, 0.56, 0.56, 0.68, 0.64]",0.588,0.0473286382647969,"[294.2431, 293.6763, 293.0738, 295.15, 293.3961, 293.8261, 294.6035, 293.7977, 294.7105, 293.6941]",294.01712000000003,0.6446147700586542
SciBert,PubMedQa,model+adapter,25,12,LP_FULL,model+adapter LP_FULL,"[0.64, 0.56, 0.6, 0.52, 0.58, 0.62, 0.56, 0.56, 0.68, 0.64]",0.596,0.04880801391392837,"[295.3466, 293.9105, 294.2934, 294.0091, 293.6065, 295.0655, 293.702, 293.8676, 295.2188, 293.881]",294.2901,0.6634948530320407
SciBert,PubMedQa,model+adapter,25,12,LP_NB,model+adapter LP_NB,"[0.58, 0.56, 0.6, 0.52, 0.58, 0.62, 0.56, 0.56, 0.68, 0.64]",0.5900000000000001,0.046427960923947076,"[294.8468, 294.1055, 295.5139, 294.1732, 294.1851, 293.8194, 293.8898, 294.128, 294.1812, 294.9595]",294.38024,0.542949502869881
SciBert,PubMedQa,only_model,25,12,only_model,only_model,"[0.56, 0.56, 0.6, 0.52, 0.58, 0.62, 0.56, 0.56, 0.68, 0.64]",0.588,0.0473286382647969,"[298.8552, 299.5987, 298.5139, 298.2847, 298.4925, 298.2501, 299.4601, 298.1666, 298.612, 298.4287]",298.66625,0.49626907184175095
